id,user_story,Feature Specificity (FS),Rationale Clarity (RC),Problem oriented,Language Clarity (LC),Internal Consistency (IC),Notes ( mostly for bad results on the metrics )
9427,As a parent I want to be able to enroll my children so that they can be admitted to camp.,3,2,3,3,3,
4470,"As a camp worker, I want to have access to a platform for efficient scheduling and utilization of internal camp facilities, so that conflicting schedules can be avoided.",2,2,3,2,3,
9146,"As a guest, I want to fill out individual consent forms for events so that my child can attend only selected events",2,2,3,2,3,
662,As a parent I want to be able to see and edit my enrolled children to the camp year so that I can know who I already enrolled to camp who is still pending admission etc.,3,2,3,2,3,
5098,As a camp administrator I want to be able to delete parents from the database so that I can keep my pages free of unneeded clutter.,3,2,2,2,3,
1725,As a camp administrator I want to be able to create modify rules that campers and camp workers has to follow.,2,1,2,1,3,
1801,As a camp administrator I want to be quickly log attendance everyday so that I can track which kids are coming in.,2,1,3,2,3,
1853,"As a camp administrator, I want to be able to collect feedback from camp workers and guardians, so that I can address any concerns and continuously improve the camp operations.",2,2,3,2,3,
3442,"As a camp administrator, I want to receive real-time notifications and updates about any issues or concerns reported by camp workers or guardians, so that I can address them promptly and maintain a safe and well-organized camp environment.",2,1,3,2,3,
463,"As a camp administrator, I want to manage camper check-in and check-out to ensure the safety and security of campers and maintain accurate attendance records.",2,2,3,2,3,
9906,"As a camp administrator, I want to have a clear view of the camp activities and the performance of camp attendees, so that I can make informed decisions about camp operations.",1,1,3,1,3,
8339,As a supervisor I want to be able to publish completed reports for each camper to the Happy Camping Parent Portal so that it can be accessible to their parents at the end of the day.,1,1,3,2,3,
7436,"As a camp attendee, I want to receive reminders and notifications about my scheduled activities and events, ensuring that I do not miss any important camp experiences.",2,2,3,3,3,
2902,"As a camp administrator, I want to be able to communicate important announcements and updates to all camp attendees and their guardians through a messaging system.",2,1,2,2,3,
1508,"As a camp worker, I want the system to provide a clear view of camp activities, especially those in which I am involved, so that I can stay informed and prepared for my responsibilities.",2,2,3,2,3,
1269,"As a camper, I can check in at a scheduled event, so I can let my parents know I’m enjoying myself.",2,1,2,2,3,
6126,As a camp administrator I want to be able to keep track of which camper submitted which forms so that legal issues are avoided.,1,2,3,2,3,
6021,As an administrator I want to be able to assign tasks to a specific employee so that they are the ones in charge of that specific task.,2,2,3,2,3,
7076,As a camp administrator I want to be able to automatically create nametags for campers so that I can lower the amount of work I need to do.,2,2,2,2,3,
9548,"As a camp worker, I want to have access to a platform where I can easily communicate with the camp administrator and receive task assignments, so that I can stay informed about my responsibilities.",2,2,3,2,3,
1691,"As a guardian, I want to receive notifications about any significant incidents or concerns related to my child's camp experience, so that I can address any issues promptly.",2,2,3,2,3,
4496,"As a Parent/Guardian, I want to be able to provide feedback on camp facilities to the staff/volunteers and/or the camp administrator.",2,1,2,2,3,
5884,"As a camp worker, I want to have the ability to post comments about activities so that I can interact with others that were involved in or curious about the activities.",2,2,3,2,3,
6244,"As the owner, I want access to a system that will help ensure supervisors and guardians are communicating, so that camper safety can be assured.",1,2,3,2,3,
6297,"As an administrator, I want the camp site to be enticing, especially to those applications who utilize the online application forms.",1,2,2,1,1,
5877,As a camp administrator I want to be able to schedule activities for campers so that camp workers can easily keep track of who is where at all times.,2,1,2,2,1,
73,"As a camp administrator, I want to generate reports on camper participation and performance, providing valuable insights for planning and improving camp activities and experiences.",2,2,2,2,3,
1976,As a camp administrator I want to store campers' emergency information in a database so that I can easily notify the necessary parties in case of an emergency.,2,2,3,3,3,
3281,As a camp worker I'm able to report a camper to the manager with an inappropriate behavior.,1,2,2,2,3,
5196,As a parent I want to be able to message my child's counselors so that I can voice my concerns or check on my child's progress.,3,3,3,2,3,
3252,"As a supervisor, I want to keep track of student performance so that I can measure achievement.",2,2,3,2,3,
2527,As a camp administrator I want to provide bi-weekly feedback to camper's parents so that they can be aware of their child's behavior and performance at camp.,2,2,2,3,3,
7749,As a system user I should be able to view all activities I registered for so that I can know what participation is expected.,2,1,2,2,2,
8154,"As an administrator, I should be able to read submitted applications for events with ease and be able to append reference notes for administrative use.",2,1,2,2,2,
3680,"As a parent, I want the ability to register my child for an activity online so that I don’t have to continuously bring papers to the camp.",2,2,2,2,3,
5814,"As a supervisor/camp staff, I will take attendance on the campers in my group who are present, so that I can properly document them",2,1,2,1,2,
6368,As a camp administrator I want to be able to create groups and add campers to the groups so that I can easily organize the campers.,2,2,3,2,3,
1597,"As an employee, I want to be able to send anonymous feedback to Mr. Tarboush so that I can share information privately without sharing my identity",2,1,1,2,2,
9154,"As an employee, I want a way to check on any maintenance tickets so that I can keep ahead of any issues with the campgrounds.",2,2,2,2,3,
5689,"Given I am an admin, I should be able to change the supervisors of activity if needed",1,1,2,2,3,
5817,As a camp administrator I want to be able to add campers so that I can keep track of each individual camper.,2,2,3,2,3,
6918,"As a camp employee, I want the software to have a social media design, so that I can communicate with camp attendees that are signed up for my specific activity/class.",1,2,1,2,3,
7859,As a camp administrator I want to keep track of the usage of internal camp facilities so that I don't create conflicting schedules for the different camp groups.,2,2,2,2,3,
1957,As a parent user I want to be able to view the reports of my camper for that day so that I am aware about all that happened throughout the day.,2,2,2,2,3,
1094,"As a camp administrator, I want to be able to easily input and update information about camp attendees, including their personal details and emergency contact information, so that I can efficiently manage camper records.",3,2,2,2,3,
9609,As a system visitor I can see list of upcoming camp events so that I can choose the events that I want.,2,2,3,2,3,
9926,"As a camp guardian, I want to receive notifications about any schedule changes or important announcements related to my child's participation in the camp, so that I can stay informed.",3,3,3,3,3,
5103,"As the owner, I would like to place activities listing on the site so campers can easily sign up",2,2,3,2,3,
6246,"As a camp guardian, I want to have visibility into the performance and behavior of my child at the camp, so that I can address any issues or concerns that may arise.",2,3,3,2,3,
3713,"As a guardian, I want to have the ability to post comments on posts that I am or my camp attendee(s) are tagged in so that I can interact with others and share my thoughts or experiences.",3,3,3,3,3,
4316,As a camp worker I would be able to submit a completion report for the tasks which was assigned to me.,2,1,2,2,3,
132,"As a camp attendee, I want to be able to communicate with camp counselors and administrators for updates and concerns through the system, so that I can address specific needs and receive support during my camp experience.",2,2,3,1,3,
6541,As a camp administrator I want to be able to delete campers from the database so that I can keep my pages free of clutter.,2,2,3,2,3,
5526,"As a camp administrator, I want to capture and manage detailed feedback and concerns from camp workers and guardians, to ensure effective communication and engagement with all stakeholders.",2,2,3,2,3,
8180,As a camp administrator I want to be able to notify parents all at once so that they can be notified of any upcoming events.,3,2,3,2,3,
1531,As a camp worker I want to be able to see which campers I am in charge of and where so that I can make sure I am doing my job properly.,2,2,2,2,3,
7067,As a parent I want to be able to share any photos the camp has taken of my child.,3,1,2,2,3,
5636,As a camp administrator I want to be able to make nametags faster so that I don't have to spend two hours making 200+ nametags,1,1,1,1,3,
3990,As a camp administrator I want to be able to create a registration form for both staff and kids so that I can keep organized.,2,2,2,2,3,
2241,"As Mr. Tarboush, I want to be able to generate employee performance reports so that employee evaluations are done using relevant data",1,2,2,1,3,
3265,"As the administrator, I want a ticketing system that can be updated as the status of the ticket progresses, so that I know what is happening with an incident from start to finish.",2,2,3,2,3,
4545,As a camp administrator I want to be able to suspend a camper who had behavioral problems.,2,1,2,2,3,
7882,"As a Parent/Guardian, I want to see the name of the staff/volunteer who will be overseeing each activity my child (children) is (are) signed up for.",3,3,3,3,3,
2119,A potential camp attendee should be able to access the rating of the camp and events by previous camp attendees.,2,1,2,3,3,
3746,As a camp administrator I want to be able to upload consent forms  so that campers or their parents can easily access the forms.,2,1,2,2,2,
3239,"As a camp administrator, I want the system to support the scheduling and management of camp workers' tasks, enabling effective coordination of staff responsibilities and performance tracking.",2,2,3,2,3,
1336,"As a camp manager, I want to be able to generate reports on camp activities, attendee participation, and performance metrics, providing insights to support continuous improvement of camp operations.",2,2,3,2,3,
3266,"As a camp administrator, I want to be able to facilitate two-way communication between camp workers and administrators, so that I can effectively manage and support the camp staff.",1,2,3,1,3,
8196,As a camp administrator I want to be able to remove campers if they don't attend the camp anymore  so that I can keep the records organized.,2,2,2,2,3,
8413,As a camp administrator I want to be able to schedule tasks/activities for a specific camp group so that I can track each groups daily/weekly and monthly activities.,2,2,2,2,3,
4412,"As a camp attendee, I want to receive clear and timely communication regarding camp schedules, changes in activities, and any emergency notifications to ensure my safety and participation in camp events.",2,1,2,2,3,
6660,As a parent I want to be able to see a schedule of the activities my children are involved in at camp so that I can be more informed as to what they are doing at camp.,2,2,3,2,3,
6269,"As a camp worker, I want to report any issues or maintenance requirements for camp facilities and equipment in a timely manner.",2,2,2,2,3,
4993,As an administrator I want to be able to see participants for each activity so that I can keep track.,3,1,2,2,3,
6,"As a camp administrator, I want to be able to categorize and organize camp activities based on age groups and interests so that I can ensure that each activity is suitable and engaging for the attendees.",3,2,3,2,3,
4773,As a camp administrator I want to create an avenue  so parents can submit feedback and general concerns so that I can keep improving the services I provide.,2,2,3,2,3,
4124,"As a camp administrator, I want to be able to connect with guardians in case of urgent situations through an emergency communication system, so that I can ensure their immediate awareness and support.",3,3,3,3,3,
5539,As a camp administrator I want to be able to see medical forms so that we can be prepared for an allergy attack,2,2,3,2,3,
6567,As a camp administrator I want to be able to assign different positions to the staff members  so that it is possible to organize activities in terms of responsibilities.,2,2,3,2,3,
8485,As a parent I want to be able to track my child's activity and schedule at camp so that I can have peace of mind.,2,1,2,2,2,
6573,As a parent user I want to be able to fill out enrollment documents so that my child can be registered for camp with all the correct information.,2,2,3,2,3,
5686,"As a system administrator, I want to configure and manage communication channels and notification settings, so that I can ensure effective communication within the app.",1,1,3,2,3,
8120,As a camp instructor I want to be able to check in equipment so that I have proof or return of equipment.,2,2,2,2,3,
7140,"As a camp administrator, I want to be able to track the attendance of camp attendees for each activity, so that I can ensure the safety and accountability of all participants.",3,3,3,3,3,
